

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.014  000.014: --- NVIM STARTING ---
000.398  000.384: event init
000.524  000.125: early init
000.897  000.374: locale set
000.991  000.093: init first window
001.767  000.777: inits 1
001.805  000.038: window checked
001.813  000.007: parsing arguments
003.039  000.101  000.101: require('vim.shared')
003.237  000.099  000.099: require('vim.inspect')
003.370  000.092  000.092: require('vim._options')
003.377  000.321  000.130: require('vim._editor')
003.385  000.664  000.242: require('vim._init_packages')
003.397  000.921: init lua interpreter
003.642  000.245: expanding arguments
003.695  000.052: inits 2
004.402  000.708: init highlight
004.405  000.003: waiting for UI
004.719  000.314: done waiting for UI
004.737  000.017: clear screen
004.796  000.008  000.008: require('vim.keymap')
005.129  000.384  000.376: require('vim._defaults')
005.132  000.011: init default mappings & autocommands
006.064  000.084  000.084: sourcing /usr/share/nvim/runtime/ftplugin.vim
006.167  000.049  000.049: sourcing /usr/share/nvim/runtime/indent.vim
007.402  000.730  000.730: require('lazy')
007.473  000.034  000.034: require('ffi')
007.814  000.194  000.194: require('vim.uri')
007.835  000.356  000.161: require('vim.loader')
007.962  000.066  000.066: require('vim.fs')
008.154  000.294  000.228: require('lazy.stats')
008.277  000.097  000.097: require('lazy.core.util')
008.427  000.147  000.147: require('lazy.core.config')
008.686  000.134  000.134: require('lazy.core.handler')
008.808  000.118  000.118: require('lazy.core.plugin')
008.816  000.386  000.134: require('lazy.core.loader')
010.429  000.130  000.130: require('lazy.core.handler.event')
010.436  000.264  000.134: require('lazy.core.handler.ft')
010.530  000.089  000.089: require('lazy.core.handler.cmd')
010.776  000.241  000.241: require('lazy.core.handler.keys')
012.246  000.515  000.515: sourcing /usr/share/nvim/runtime/filetype.lua
013.389  000.188  000.188: require('ibl.utils')
013.401  000.321  000.133: require('ibl.config')
013.651  000.164  000.164: require('ibl.indent')
013.684  000.281  000.117: require('ibl.hooks')
013.690  000.685  000.083: require('ibl.highlights')
013.802  000.109  000.109: require('ibl.autocmds')
013.919  000.113  000.113: require('ibl.inlay_hints')
014.111  000.188  000.188: require('ibl.virt_text')
014.687  000.428  000.428: require('ibl.scope_languages')
014.697  000.580  000.153: require('ibl.scope')
014.713  002.270  000.595: require('ibl')
017.344  001.206  001.206: require('vim.lsp.log')
018.348  000.995  000.995: require('vim.lsp.protocol')
019.169  000.288  000.288: require('vim.lsp._snippet_grammar')
019.253  000.076  000.076: require('vim.highlight')
019.263  000.006  000.006: require('vim.F')
019.283  000.919  000.550: require('vim.lsp.util')
019.302  003.828  000.708: require('vim.lsp.handlers')
019.687  000.383  000.383: require('vim.lsp.rpc')
019.846  000.141  000.141: require('vim.lsp.sync')
020.072  000.222  000.222: require('vim.lsp.semantic_tokens')
020.408  000.328  000.328: require('vim.lsp.buf')
020.832  000.399  000.399: require('vim.lsp.diagnostic')
021.056  000.217  000.217: require('vim.lsp.codelens')
021.272  000.208  000.208: require('vim.lsp.inlay_hint')
021.394  006.532  000.807: require('vim.lsp')
022.714  000.164  000.164: require('scrollbar.const')
022.976  000.253  000.253: require('scrollbar.utils')
023.091  000.109  000.109: require('scrollbar.handlers')
023.098  000.990  000.464: require('scrollbar')
023.200  000.100  000.100: require('scrollbar.config')
023.639  000.143  000.143: require('scrollbar.handlers.cursor')
024.336  000.479  000.479: require('vim.diagnostic')
024.346  000.674  000.195: require('scrollbar.handlers.diagnostic')
024.616  000.238  000.238: require('scrollbar.handlers.search')
025.218  000.064  000.064: sourcing /home/takuyamuk/.local/share/nvim/lazy/nvim-hlslens/plugin/hlslens.vim
026.063  000.668  000.668: require('hlslens')
026.454  000.067  000.067: require('hlslens.lib.disposable')
